r_imm,r_del,delay,choice,p_imm,condition,rt,subject_id,run_type,log_rt
0.26,5.0,30.0,0,0.5,1.0,2706.1,Subj_01,train,7.903263762962921
9.93,10.0,7.0,1,0.5,1.0,3778.1,Subj_01,train,8.23697651674239
19.419999999999998,20.0,30.0,1,0.5,1.0,4410.5,Subj_01,train,8.391743340698822
14.65,20.0,365.0,1,0.5,1.0,3108.8,Subj_01,train,8.041992078623176
4.99,5.0,180.0,1,0.5,1.0,2452.6,Subj_01,train,7.8049039653279255
0.09,20.0,365.0,0,0.5,1.0,1910.0,Subj_01,train,7.554858521040676
0.46,50.0,180.0,0,0.5,1.0,2923.2,Subj_01,train,7.980434185623742
0.36,20.0,90.0,0,0.5,1.0,1517.2,Subj_01,train,7.324621809814744
0.05,5.0,180.0,0,0.5,1.0,1399.6,Subj_01,train,7.2439417604935326
1.79,5.0,180.0,0,0.5,1.0,1562.2,Subj_01,train,7.353850363176197
49.91,50.0,180.0,1,0.5,1.0,3347.8,Subj_01,train,8.11605869266852
2.15,10.0,365.0,0,0.5,1.0,2675.2,Subj_01,train,7.891779422890383
26.32,50.0,90.0,0,0.5,1.0,3041.9,Subj_01,train,8.020237599169109
7.33,10.0,365.0,0,0.5,1.0,2574.0,Subj_01,train,7.853216388156072
4.67,5.0,7.0,0,0.5,1.0,1945.1,Subj_01,train,7.573068668612646
0.53,10.0,30.0,0,0.5,1.0,2176.7,Subj_01,train,7.685565247420791
0.18,10.0,90.0,0,0.5,1.0,1512.8,Subj_01,train,7.321717517344248
15.38,20.0,30.0,0,0.5,1.0,1653.0,Subj_01,train,7.410347097821024
7.14,20.0,180.0,0,0.5,1.0,3097.7,Subj_01,train,8.038415179619022
19.99,20.0,30.0,1,0.5,1.0,1957.5,Subj_01,train,7.579423427864958
0.91,50.0,90.0,0,0.5,1.0,1434.6,Subj_01,train,7.268641343692334
4.24,5.0,180.0,1,0.5,1.0,3209.9,Subj_01,train,8.073995062990832
49.99,50.0,7.0,1,0.5,1.0,1963.4,Subj_01,train,7.582432943258421
0.09,10.0,180.0,0,0.5,1.0,939.9000000999999,Subj_01,train,6.84577348673265
19.86,20.0,7.0,0,0.5,1.0,2148.4,Subj_01,train,7.672478658031304
18.35,20.0,90.0,0,0.5,1.0,3465.1,Subj_01,train,8.150496771236421
36.63,50.0,365.0,0,0.5,1.0,3457.9,Subj_01,train,8.148416747375117
0.05,10.0,365.0,0,0.5,1.0,891.8000002,Subj_01,train,6.793241892417642
17.86,50.0,180.0,0,0.5,1.0,2515.2,Subj_01,train,7.830107602234888
4.970000000000001,5.0,7.0,1,0.5,1.0,2265.4,Subj_01,train,7.725506622766614
49.99,50.0,30.0,1,0.5,1.0,1706.2,Subj_01,train,7.442023954474594
3.57,10.0,180.0,0,0.5,1.0,2936.3,Subj_01,train,7.984905564350915
9.98,10.0,180.0,1,0.5,1.0,2173.5,Subj_01,train,7.684094050428847
2.63,50.0,30.0,0,0.5,1.0,1164.1,Subj_01,train,7.0597035352541955
49.65,50.0,7.0,0,0.5,1.0,2421.9,Subj_01,train,7.792307635069079
2.63,5.0,90.0,0,0.5,1.0,1274.1,Subj_01,train,7.1499953259873354
0.09,5.0,90.0,0,0.5,1.0,1263.9,Subj_01,train,7.14195745765308
18.69,20.0,7.0,0,0.5,1.0,1454.6,Subj_01,train,7.28248622772044
19.959999999999997,20.0,180.0,1,0.5,1.0,2185.7,Subj_01,train,7.689691422356142
4.98,5.0,365.0,1,0.5,1.0,2246.8,Subj_01,train,7.717262260658278
19.93,20.0,365.0,1,0.5,1.0,2558.8,Subj_01,train,7.8472936775759825
0.23,50.0,365.0,0,0.5,1.0,1595.1,Subj_01,train,7.3746917091784026
4.85,5.0,30.0,1,0.5,1.0,3143.3,Subj_01,train,8.053028482449296
1.05,20.0,30.0,0,0.5,1.0,2280.4,Subj_01,train,7.7321061451574264
